Gender,Age,Dependents,Employment_Status,Annual_Income,Monthly_Expenses,Credit_Score,Existing_Loans,Outstanding_Debt,Loan_Amount_Requested,Loan_Term,Loan_Purpose,Interest_Rate,Loan_History,Bank_Account_History,Transaction_Frequency,Co-Applicant,Default_Risk,Loan_Approval_Status
Female,30,2,Self-Employed,94133,2377,795,0,29162,22170,200,Education,12.69,0,5,9,Yes,0.88,1
Male,41,2,Unemployed,122542,1907,744,2,9871,24127,198,Education,10.94,0,2,16,Yes,0.56,1
Female,57,2,Self-Employed,57570,4022,473,2,13054,13185,93,Home,8.37,0,3,29,No,0.75,0
Female,31,2,Self-Employed,69760,1179,753,0,20200,20122,123,Personal,5.99,0,0,6,Yes,0.96,0
Male,63,2,Employed,69578,2278,578,1,15772,26182,76,Home,12.44,0,1,10,No,0.07,0
Female,52,3,Self-Employed,36908,2117,486,2,3811,6651,142,Education,3.67,0,8,27,Yes,0.22,0
Male,42,1,Employed,57231,4387,776,2,27872,20000,186,Home,6.36,0,0,25,No,0.69,1
Female,49,1,Employed,73735,1623,795,2,22058,20335,164,Education,5.67,0,7,11,No,0.95,1
Male,38,0,Unemployed,32625,2006,393,0,11026,11885,53,Education,4.49,0,9,20,Yes,0.18,0
Male,42,0,Employed,55882,1855,343,1,6135,19530,67,Education,4.95,1,3,21,No,0.67,1
Female,48,3,Employed,43008,2442,364,1,177,12571,236,Vehicle,11.8,1,0,24,Yes,0.63,1
Female,32,3,Employed,25233,2157,500,0,5905,8567,58,Home,7.34,0,5,21,Yes,0.08,0
Male,39,0,Employed,96440,3063,773,1,11162,25540,56,Home,7.65,0,8,15,No,0.22,1
Male,49,2,Self-Employed,109631,2318,744,2,1826,24384,132,Vehicle,10.88,0,2,6,Yes,0.23,1
Male,43,0,Self-Employed,142307,4963,754,0,3183,21258,211,Education,11.72,0,6,24,Yes,0.44,1
Male,68,3,Unemployed,37539,2887,336,1,19749,12023,193,Education,14.14,0,0,12,No,0.07,0
Female,37,0,Self-Employed,129380,1557,783,2,4720,32699,200,Personal,14.74,0,7,7,No,0.26,1
Female,38,2,Self-Employed,149375,4464,817,1,1686,23706,98,Vehicle,8.45,0,9,5,No,0.02,1
Male,49,0,Employed,71260,902,728,1,12570,20910,78,Vehicle,8.11,1,9,23,No,0.16,1
Male,43,1,Employed,135220,3057,823,1,25786,38280,44,Personal,14.15,0,8,12,No,0.31,1
Male,47,1,Unemployed,70684,878,785,2,27409,20953,35,Education,9.14,0,7,5,Yes,0.12,1
Female,36,3,Self-Employed,67283,4000,568,0,200,11245,21,Personal,8.49,1,4,21,Yes,0.37,0
Male,41,2,Employed,88507,4612,841,0,17424,25515,132,Vehicle,12.96,0,5,15,Yes,0.26,1
Male,61,0,Employed,44493,4989,593,0,10449,13470,136,Personal,5.79,1,6,28,Yes,0.32,0
Female,40,2,Self-Employed,88124,3425,727,0,29696,20682,208,Home,6.41,0,5,29,Yes,0.49,1
Male,43,2,Employed,131192,2215,823,2,23923,23590,223,Personal,9.53,1,8,16,Yes,0.53,1
Male,62,3,Employed,50569,3826,518,1,2280,6504,28,Home,11.2,0,3,10,Yes,0.8,0
Female,27,0,Self-Employed,57948,4743,561,1,17606,12598,76,Vehicle,10.89,0,9,5,No,0.83,1
Male,32,3,Self-Employed,103775,3036,765,0,23664,26779,227,Home,5.85,0,2,24,No,0.84,0
Male,66,3,Self-Employed,63742,4367,455,2,11287,5005,94,Vehicle,11.49,0,4,23,No,0.6,0
Female,37,0,Self-Employed,123775,2700,773,2,18475,21760,121,Home,8.97,0,5,29,Yes,0.97,1
Male,26,2,Unemployed,56089,3386,823,0,9860,20000,177,Vehicle,9.74,0,0,16,Yes,0.94,1
Female,49,0,Employed,102144,4368,770,2,20072,22702,108,Vehicle,10.4,1,6,10,No,0.59,1
Female,36,1,Self-Employed,118209,3259,796,1,3438,21339,23,Education,9.19,1,0,6,No,0.25,1
Female,48,2,Unemployed,112560,2852,802,0,3543,22315,229,Education,10.75,0,7,26,No,0.94,0
Male,42,1,Self-Employed,143783,3379,725,1,12932,39683,237,Education,9.19,0,4,18,Yes,0.15,1
Female,43,1,Self-Employed,74599,4776,798,0,8876,20034,132,Personal,6.4,0,4,9,Yes,0.91,1
Female,48,1,Self-Employed,52665,4472,793,2,20339,20000,82,Education,4.35,0,9,20,No,0.76,1
Male,40,2,Employed,139214,2602,713,0,18648,35421,44,Personal,7.51,0,1,26,No,0.28,0
Male,37,1,Self-Employed,57629,3078,432,2,15767,16929,175,Home,13.26,1,4,19,Yes,0.28,0
Male,26,0,Self-Employed,108143,4118,708,2,17413,22765,107,Home,8.44,0,0,6,No,0.85,0
Female,44,3,Employed,105508,4244,730,0,21345,25968,12,Home,12.63,0,6,10,Yes,0.14,1
Male,55,2,Unemployed,34907,3184,463,0,5040,12034,103,Home,8.74,0,5,28,Yes,0.17,1
Male,38,2,Employed,96672,4210,709,0,1878,21819,31,Home,14.3,0,6,16,Yes,0.03,1
Female,48,2,Employed,106180,4531,809,0,22604,27308,78,Home,5.56,1,4,28,Yes,0.3,1
Female,27,3,Employed,126601,952,833,2,17915,37201,79,Home,13.06,0,6,24,No,0.71,1
Female,45,0,Employed,87378,2256,773,2,29728,24418,28,Education,13.77,0,1,14,Yes,0.61,1
Male,36,1,Self-Employed,61410,3344,475,0,16937,12388,134,Personal,6.97,0,7,23,No,0.53,0
Female,25,2,Self-Employed,37979,2481,440,0,7678,7467,227,Education,10.89,0,3,17,Yes,0.05,0
Male,32,0,Employed,136706,4303,721,1,997,23620,204,Vehicle,5.21,0,4,6,Yes,0.4,0
Female,23,1,Self-Employed,43332,3274,398,1,27813,17202,137,Vehicle,3.57,0,8,8,Yes,0.31,0
Male,59,3,Unemployed,63314,1285,342,0,25674,5904,217,Education,7.36,0,8,10,No,0.67,0
Female,35,0,Self-Employed,137955,1298,734,2,4107,38046,86,Personal,4.21,0,6,11,No,0.24,1
Female,66,2,Self-Employed,51222,990,440,1,2849,19370,197,Home,11.98,0,4,28,Yes,0.92,1
Male,35,3,Self-Employed,60565,3416,745,1,9521,20000,169,Vehicle,6.09,0,9,19,No,0.39,1
Female,68,2,Self-Employed,64584,2712,554,0,28858,13538,152,Home,13.37,0,7,14,No,0.58,0
Female,30,0,Employed,36440,2633,461,2,27216,14435,119,Vehicle,12.54,0,9,18,Yes,0.35,0
Female,48,0,Employed,101200,4098,786,2,16307,20803,237,Vehicle,4.41,1,0,19,No,0.72,1
Female,27,2,Employed,57752,1516,715,0,22695,20000,66,Home,11.69,0,1,15,No,0.38,0
Female,30,0,Unemployed,100814,2452,720,1,12786,27299,200,Home,14.53,0,0,7,No,0.72,0
Male,26,3,Self-Employed,106351,1504,762,0,20418,22578,33,Personal,7.5,1,0,22,Yes,0.31,0
Female,50,3,Self-Employed,35323,2279,572,2,28767,7048,223,Personal,10.4,0,6,21,Yes,0.74,1
Female,33,0,Unemployed,61427,3911,569,1,12497,14612,102,Education,12.23,0,3,5,Yes,0.21,0
Female,49,1,Unemployed,94491,2017,739,2,5617,23742,239,Home,5.35,1,9,26,No,0.9,1
Female,33,1,Employed,137815,3570,791,2,10900,36366,144,Education,5.22,1,2,25,Yes,0.65,1
Male,45,2,Unemployed,98424,1983,700,0,28709,22124,82,Personal,13.74,0,7,29,Yes,0.34,1
Male,25,3,Employed,126974,1508,808,0,7037,22495,188,Personal,14.34,1,7,16,Yes,0.08,1
Male,42,2,Employed,115813,1134,835,0,29279,31837,36,Vehicle,6.14,0,6,23,Yes,0.07,1
Male,41,0,Employed,122024,2461,780,1,14350,26740,61,Personal,7.51,0,1,18,No,0.15,0
Male,33,3,Self-Employed,50850,620,555,1,11561,9424,231,Vehicle,13.05,0,3,26,No,0.18,1
Male,30,2,Unemployed,90036,2226,772,1,25737,26096,186,Home,7.87,0,2,20,Yes,0.43,1
Female,42,1,Self-Employed,111979,3132,761,1,7447,31920,163,Education,7.69,0,6,16,No,0.52,1
Female,31,3,Employed,63263,3560,502,1,20390,13416,191,Home,6.43,0,7,22,No,0.07,0
Female,41,3,Unemployed,71974,2612,843,0,2822,20116,205,Vehicle,4.68,0,9,13,Yes,0.14,1
Female,43,2,Unemployed,63774,3393,595,2,13116,20768,104,Education,3.67,0,7,20,No,0.35,1
Male,23,3,Self-Employed,34831,1857,556,0,28649,12852,102,Home,5.35,0,5,10,Yes,1,0
Male,35,2,Self-Employed,68641,2898,800,2,1123,20120,193,Vehicle,5.35,0,2,16,No,0.29,0
Male,26,1,Employed,58453,2391,760,0,5486,20000,30,Education,13.58,0,7,23,Yes,0.25,0
Male,49,0,Self-Employed,144508,2472,787,0,1546,28073,110,Home,11.37,0,3,20,Yes,0.85,1
Male,27,3,Unemployed,122800,635,820,2,15219,22208,50,Education,7.37,0,7,28,Yes,0.94,1
Male,32,0,Employed,85163,4310,774,2,16914,22311,191,Personal,6.14,0,4,22,No,0.78,1
Male,33,2,Unemployed,105542,2681,837,1,14222,20138,142,Home,11.72,0,0,28,No,0.37,1
Female,34,3,Employed,65320,1759,760,1,11448,20000,146,Vehicle,11.93,0,9,15,No,0.12,1
Male,45,2,Employed,138556,708,726,0,10845,23002,175,Education,8.1,0,8,12,Yes,0.9,1
Male,46,0,Employed,104709,957,785,2,16999,30063,46,Home,8.83,0,4,11,Yes,1,1
Female,62,0,Employed,47014,3228,301,0,18034,11812,138,Home,5.78,1,7,13,Yes,0.45,0
Male,36,3,Unemployed,93025,4361,841,2,684,23291,33,Education,13.88,0,0,12,No,0.99,1
Female,34,2,Employed,75135,1319,767,0,586,20230,14,Home,7.96,0,1,5,No,0.87,1
Male,45,2,Employed,57086,1322,720,1,23817,20000,74,Vehicle,4.05,0,8,20,Yes,0.1,0
Female,47,0,Employed,68787,3370,476,2,1856,7627,102,Education,12.09,0,0,15,Yes,0.26,0
Female,38,0,Employed,113970,642,752,1,13430,23109,99,Personal,8.04,0,4,11,Yes,0.49,1
Male,30,1,Employed,84867,1834,843,0,15634,20247,114,Personal,12.59,0,2,16,No,0.38,1
Female,44,3,Employed,39218,3424,535,1,4201,13668,176,Personal,6.09,0,6,10,Yes,0.86,0
Female,26,1,Unemployed,144086,3605,782,2,22836,41482,43,Home,7.51,0,2,15,Yes,0.16,1
Female,32,1,Employed,51312,1315,306,0,20091,5532,49,Vehicle,11.41,0,7,8,Yes,0.32,0
Female,49,3,Employed,78213,1958,707,1,5212,21868,102,Home,3.52,0,7,23,No,0.58,1
Male,47,1,Unemployed,135699,914,785,0,20525,31162,181,Education,13.9,1,8,21,Yes,0.73,1
Female,46,3,Self-Employed,147765,3373,782,0,21790,29890,105,Home,13.43,0,1,21,Yes,0.78,1
Female,39,2,Employed,56923,936,747,0,22154,20000,115,Home,9.85,0,3,21,Yes,0.42,1
Male,28,3,Employed,110507,2019,817,2,15717,25551,82,Home,6.38,0,6,6,No,0.24,1
Male,60,1,Self-Employed,35894,2862,500,0,2027,7191,181,Education,7.88,0,9,24,Yes,0.58,0
Female,31,1,Employed,140078,3105,704,2,20409,32266,99,Vehicle,4.72,0,0,8,Yes,0.1,1
Female,39,1,Employed,79460,1691,768,2,27646,22653,75,Home,5.9,0,6,23,Yes,0.18,0
Male,44,3,Employed,112370,1470,826,0,9182,31502,45,Vehicle,12.42,1,8,21,No,0.87,1
Male,43,0,Employed,117974,713,772,0,9083,25546,60,Home,4.57,0,7,19,Yes,0.3,0
Female,38,1,Self-Employed,50689,1930,800,1,769,20000,71,Home,13.95,0,2,23,Yes,0.83,1
Male,34,2,Employed,80943,2181,736,2,16649,21963,198,Education,6.7,1,3,11,No,0.5,1
Female,48,2,Employed,125788,4147,799,1,17507,21163,42,Education,9.19,1,1,16,Yes,0.92,1
Female,30,2,Unemployed,102705,2406,738,2,4709,26269,60,Personal,7.22,0,0,16,No,0.78,1
Male,26,3,Self-Employed,117481,1036,759,2,14403,26412,48,Home,3.79,0,0,10,No,1,1
Female,31,0,Unemployed,143256,3898,829,0,21590,42430,130,Education,12.25,0,6,21,No,0.15,1
Male,48,3,Employed,76537,4094,762,2,21635,21028,223,Education,11.08,0,9,24,Yes,0.43,0
Male,45,2,Employed,144065,2930,789,2,15850,37995,70,Home,8.87,0,0,6,Yes,0.75,1
Male,52,1,Self-Employed,54157,1144,541,0,19967,8752,61,Personal,11.81,0,0,17,Yes,0.12,0
Male,32,3,Unemployed,100970,2491,719,2,17743,26881,226,Personal,5.83,0,6,19,No,0.35,1
Female,42,0,Self-Employed,110982,2403,823,0,5625,27695,12,Education,8.96,0,6,8,No,0.07,1
Female,39,2,Unemployed,125086,1192,836,0,12500,25631,214,Home,13.25,0,2,19,Yes,0.56,1
Female,60,3,Employed,50150,2651,571,1,6024,11583,194,Education,14.93,0,6,6,Yes,0.82,0
Female,39,0,Employed,25986,810,507,0,27972,10102,190,Education,5.72,0,7,9,No,0.71,1
Female,47,1,Unemployed,82393,2513,831,0,23196,22935,209,Home,9.65,0,9,24,No,0.88,0
Male,34,2,Self-Employed,68259,3836,812,0,12445,20167,149,Personal,6.74,0,7,5,Yes,0.98,1
Female,42,3,Unemployed,24373,3589,531,0,29827,6717,99,Vehicle,13.56,0,3,28,No,0.23,0
Female,45,3,Employed,59997,2239,803,0,13060,20000,37,Home,14.26,0,3,26,No,0.34,1
Male,41,1,Unemployed,55260,4860,841,1,10298,20000,202,Personal,4.93,0,6,8,Yes,0.96,1
Male,42,0,Employed,123670,2323,727,1,3510,31729,28,Home,11.2,0,8,16,No,0.42,1
Male,48,0,Self-Employed,136482,4387,767,2,23115,24072,231,Personal,5.22,0,0,17,Yes,0.94,1
Male,18,2,Employed,64246,1715,308,1,24090,10274,88,Home,7.02,1,8,28,Yes,0.47,0
Female,19,0,Employed,29750,2458,430,1,14940,6648,88,Vehicle,7.96,0,5,22,Yes,0.08,0
Male,29,0,Employed,119597,4072,753,2,4069,33694,28,Home,9.61,0,0,10,Yes,0.47,1
Female,34,2,Unemployed,136534,2237,769,1,22134,20182,146,Home,12.56,0,1,15,No,0.91,1
Male,36,2,Unemployed,58480,3286,764,1,27581,20000,155,Education,14.59,0,6,13,No,0.34,1
Male,30,3,Employed,23885,3442,303,0,1076,5775,208,Home,10.97,0,4,22,No,0.24,0
Male,65,1,Employed,26732,2017,571,0,23512,8804,197,Home,7.7,0,2,7,No,0.38,0
Female,46,0,Unemployed,56075,4795,395,0,11089,20652,158,Personal,11.88,1,4,5,Yes,0.82,0
Female,20,1,Unemployed,55390,1815,530,1,19688,20471,116,Home,12.85,0,6,24,No,0.97,0
Female,28,2,Unemployed,121118,2044,774,2,27650,24858,186,Education,6.02,0,1,11,No,0.25,1
Male,40,1,Unemployed,127683,2198,833,2,9962,31016,126,Education,11.58,0,7,24,No,0.96,1
Female,34,1,Employed,88183,3765,745,0,23485,23173,152,Home,13.34,0,0,22,No,0.47,1
Male,31,3,Unemployed,34034,3455,490,0,27489,7318,130,Education,8.4,0,1,24,Yes,0.01,0
Female,45,3,Unemployed,121084,4242,787,2,9234,31594,112,Personal,13.03,1,7,22,No,0.11,1
Male,43,1,Self-Employed,147787,546,708,1,2585,29716,172,Vehicle,8.32,0,1,17,No,0.31,1
Female,29,0,Unemployed,100891,3520,765,1,13093,22066,29,Vehicle,6.8,0,8,15,Yes,0.41,1
Female,43,0,Employed,115437,1890,750,1,27377,27064,218,Vehicle,14.59,1,4,20,Yes,0.67,1
Male,35,0,Employed,115211,2539,797,0,6348,29134,166,Home,13.13,0,1,21,Yes,0.24,1
Male,41,3,Employed,124657,3250,782,0,21675,20561,224,Home,5.27,0,3,10,No,0.57,1
Female,31,3,Self-Employed,80776,3592,765,1,24260,23764,156,Personal,5.31,0,1,9,No,0.86,1
Female,28,1,Self-Employed,119745,1322,757,2,11888,21978,238,Home,11.18,1,3,23,No,0.64,1
Female,39,1,Employed,119916,4804,758,1,23462,25432,195,Vehicle,4.21,0,2,21,Yes,0.56,1
Male,48,0,Unemployed,101629,952,807,1,27929,24638,175,Vehicle,5.93,1,3,7,Yes,0.24,1
Male,53,1,Employed,50362,2504,387,0,11865,17634,171,Vehicle,7.19,0,6,17,No,0.6,0
Female,40,0,Employed,51467,4268,829,0,5771,20000,221,Home,4.76,0,8,29,Yes,0.56,0
Female,47,1,Employed,73543,650,703,1,8282,20847,95,Personal,5.97,1,4,18,No,0.82,1
Female,36,2,Employed,60597,4268,408,1,3612,14216,127,Home,6.91,0,6,24,Yes,0.71,0
Male,26,0,Employed,101998,4123,715,0,6566,24880,104,Vehicle,7.25,0,8,5,Yes,0.35,0
Male,28,0,Unemployed,49839,1136,461,1,750,5935,116,Vehicle,4.09,0,8,13,No,0.79,0
Male,43,0,Self-Employed,77896,2951,754,0,7457,23104,78,Home,4.55,0,4,21,Yes,0.4,1
Male,47,2,Employed,85861,991,709,1,455,25407,221,Vehicle,3.94,0,3,26,Yes,0.84,1
Male,38,1,Employed,97998,1757,720,2,18679,24878,127,Personal,8.64,0,9,8,Yes,0.52,0
Male,36,2,Self-Employed,101076,1909,712,1,4447,27746,166,Home,12.8,0,4,10,No,0.02,1
Male,43,2,Employed,81932,4568,813,2,20956,23317,195,Home,5.92,0,9,17,Yes,0.91,1
Male,34,2,Self-Employed,132170,2598,836,1,12186,28996,38,Vehicle,7.47,0,1,10,No,0.92,1
Female,57,3,Unemployed,53850,2879,522,1,20537,19138,50,Vehicle,4.52,0,7,28,Yes,0.08,1
Female,48,2,Unemployed,126222,4291,821,1,26093,35768,198,Home,6.42,0,4,16,No,0.91,1
Male,66,2,Unemployed,28232,1594,413,1,16370,10892,216,Education,3.95,0,5,9,No,0.21,0
Male,47,3,Employed,82403,975,713,1,28026,23715,76,Home,3.59,0,5,14,No,0.08,1
Male,25,0,Unemployed,50634,791,591,0,7056,20010,115,Vehicle,13.51,0,4,8,Yes,0.03,0
Male,33,0,Self-Employed,114550,3244,773,1,27669,33687,89,Home,4.18,0,1,25,Yes,0.98,0
Female,48,1,Self-Employed,64992,916,765,2,18177,20000,57,Personal,12.46,0,5,19,No,0.89,1
Female,38,3,Employed,105075,1975,748,2,22513,27536,122,Personal,12.91,0,2,12,Yes,0.19,1
Female,39,1,Self-Employed,147521,2621,833,2,2652,30888,218,Personal,10.36,0,4,18,No,0.61,1
Female,65,3,Employed,64614,4056,345,0,27321,8191,171,Home,12.87,0,7,23,No,0.84,0
Female,46,2,Employed,117790,831,846,2,2349,25478,29,Education,8.1,0,8,16,Yes,0.2,1
Male,32,2,Unemployed,72244,2252,770,2,29058,20526,231,Personal,12.06,0,1,5,No,0.51,1
Male,27,2,Employed,70066,3468,788,2,17161,20191,19,Personal,3.87,0,5,15,No,0.41,0
Male,26,1,Self-Employed,124014,3379,750,2,28666,20506,41,Vehicle,4.27,1,0,28,No,0.22,1
Male,18,0,Employed,67858,3516,391,1,12061,20817,207,Education,11.81,0,7,29,No,0.72,0
Female,49,3,Employed,30642,1701,373,1,8152,6627,159,Personal,5.59,0,0,25,Yes,0.79,0
Female,25,3,Employed,43155,2615,569,1,14939,12231,167,Education,5.74,0,1,14,No,0.85,0
Female,47,1,Unemployed,123304,990,839,2,23800,31140,110,Home,7.22,0,5,14,Yes,0.03,0
Male,30,1,Employed,84825,2177,728,0,3513,24465,60,Home,8.63,0,5,8,Yes,0.94,1
Female,60,0,Employed,51231,2200,479,1,12490,16738,191,Vehicle,10.6,0,4,16,Yes,0.54,0
Male,27,0,Employed,115371,961,721,2,4542,27869,183,Personal,6.42,1,0,9,Yes,0.17,1
Female,63,0,Self-Employed,60846,3334,493,2,4823,15948,146,Education,13.71,0,0,28,No,0.09,0
Female,39,0,Unemployed,68568,3426,330,1,6457,25145,229,Personal,7.88,0,9,27,No,0.87,0
Female,54,3,Unemployed,44252,2107,587,2,11258,5126,168,Personal,9.05,0,4,28,No,0.11,0
Male,45,1,Unemployed,69126,573,842,0,3969,20473,103,Home,7.17,0,9,26,No,0.82,1
Female,44,0,Employed,130748,1618,765,1,1327,27285,137,Home,13.52,0,9,23,Yes,0.5,1
Male,46,2,Employed,39096,1656,475,1,17962,12157,193,Vehicle,13.55,0,6,19,No,0.22,0
Male,37,3,Unemployed,91013,2470,725,2,3813,26978,14,Home,3.68,0,5,21,Yes,0.23,1
Male,45,0,Employed,53348,1820,715,1,9410,20000,172,Education,7.82,0,3,7,Yes,0.49,1
Female,29,1,Unemployed,118407,1602,797,0,18235,35289,98,Personal,9.34,1,7,24,Yes,0.74,1
Female,54,0,Employed,53457,4125,519,2,27101,5448,42,Education,11.12,0,1,29,No,0.07,0
Female,34,1,Employed,91153,1712,759,0,2759,23462,40,Vehicle,11.86,0,8,29,No,0.31,1
